name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;578;0;625;3115;1831;3115;1432;0
header;218;140;218;183;1850;183;1850;140
A;1144;46;1144;46;1144;46;1144;46
A;911;68;911;68;913;68;913;68
A;1025;205;1025;233;1048;233;1048;205
A;702;391;702;391;702;391;702;391
A;934;392;934;392;934;392;934;392
A;872;400;872;400;872;400;872;400
A;1456;503;1456;504;1458;504;1458;503
A;1452;575;1452;577;1454;577;1454;575
A;883;594;883;596;885;596;885;594
A;723;701;723;727;738;727;738;701
A;619;766;619;766;621;766;621;766
A;1395;769;1395;772;1397;772;1397;769
A;877;803;877;819;885;819;885;803
A;1096;810;1096;825;1104;825;1104;810
B;1024;876;1024;904;1044;904;1044;876
B;1244;898;1244;916;1258;916;1258;898
A;1099;928;1099;930;1100;930;1100;928
A;962;1080;962;1081;962;1081;962;1080
A;873;1090;873;1090;873;1090;873;1090
A;1204;1119;1204;1121;1204;1121;1204;1119
A;974;1135;974;1137;975;1137;975;1135
A;1064;1140;1064;1140;1066;1140;1066;1140
A;792;1146;792;1148;793;1148;793;1146
B;1334;1254;1334;1270;1343;1270;1343;1254
A;1576;1254;1576;1254;1576;1254;1576;1254
A;858;1275;858;1275;858;1275;858;1275
A;905;1374;905;1374;905;1374;905;1374
A;1391;1469;1391;1469;1392;1469;1392;1469
C;1019;1556;1019;1585;1040;1585;1040;1556
A;1576;1584;1576;1585;1576;1585;1576;1584
A;1176;1599;1176;1600;1176;1600;1176;1599
A;1092;1622;1092;1638;1101;1638;1101;1622
A;790;1656;790;1658;790;1658;790;1656
A;649;1657;649;1659;651;1659;651;1657
A;713;1657;713;1658;713;1658;713;1657
D;1465;1664;1465;1681;1473;1681;1473;1664
B;625;1665;625;1681;633;1681;633;1665
A;674;1728;674;1729;674;1729;674;1728
A;1374;1736;1374;1737;1374;1737;1374;1736
A;631;1739;631;1740;632;1740;632;1739
A;929;1829;929;1831;934;1831;934;1829
A;624;1954;624;1956;625;1956;625;1954
A;782;1954;782;1954;782;1954;782;1954
A;615;1966;615;1968;616;1968;616;1966
A;722;1966;722;1966;722;1966;722;1966
A;920;2029;920;2035;926;2035;926;2029
A;1200;2148;1200;2148;1200;2148;1200;2148
A;1367;2192;1367;2192;1368;2192;1368;2192
A;1115;2194;1115;2198;1117;2198;1117;2194
D;1015;2222;1015;2250;1037;2250;1037;2222
A;1270;2332;1270;2332;1270;2332;1270;2332
A;999;2444;999;2445;1001;2445;1001;2444
A;1002;2456;1002;2459;1002;2459;1002;2456
A;1022;2488;1022;2488;1022;2488;1022;2488
A;1000;2501;1000;2504;1002;2504;1002;2501
A;978;2516;978;2516;979;2516;979;2516
A;644;2556;644;2556;644;2556;644;2556
A;1578;2561;1578;2561;1578;2561;1578;2561
B;722;2575;722;2591;731;2591;731;2575
B;1651;2575;1651;2592;1660;2592;1660;2575
A;960;2595;960;2597;963;2597;963;2595
A;1118;2613;1118;2613;1118;2613;1118;2613
A;1604;2738;1604;2739;1604;2739;1604;2738
A;1229;2769;1229;2787;1237;2787;1237;2769
A;1478;2816;1478;2820;1478;2820;1478;2816
A;1401;2868;1401;2868;1401;2868;1401;2868
