name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;268;0;386;3127;1070;3127;1070;0
header;226;118;226;161;1856;161;1856;118
A;725;181;725;183;728;183;728;181
A;1029;185;1029;212;1053;212;1053;185
A;433;246;433;262;441;262;441;246
A;650;844;650;860;658;860;658;844
B;1029;859;1029;887;1051;887;1051;859
A;1025;1096;1025;1096;1025;1096;1025;1096
C;1032;1535;1032;1566;1055;1566;1055;1535
B;421;1618;421;1635;431;1635;431;1618
A;404;1744;404;1744;404;1744;404;1744
B;428;1745;428;1772;457;1772;457;1745
A;467;1766;467;1773;473;1773;473;1766
A;842;1786;842;1786;842;1786;842;1786
A;392;1826;392;1827;392;1827;392;1826
A;385;1874;385;1874;385;1874;385;1874
A;693;1982;693;1999;701;1999;701;1982
A;895;1995;895;1996;896;1996;896;1995
D;1031;2207;1031;2235;1053;2235;1053;2207
A;978;2221;978;2221;978;2221;978;2221
A;1011;2332;1011;2334;1013;2334;1013;2332
A;790;2404;790;2415;797;2415;797;2404
A;470;2495;470;2507;477;2507;477;2495
A;632;2658;632;2658;632;2658;632;2658
B;464;2667;464;2683;473;2683;473;2667
A;1053;2762;1053;2762;1056;2762;1056;2762
A;923;2921;923;2921;923;2921;923;2921
